Site ID,Energy Consumption (kWh),Date
CCC1150,72.18,2020-09-12
CCC1150,76.48,2020-09-13
CCC1150,286.37,2020-09-14
CCC1150,282.85,2020-09-15
CCC1150,318.37,2020-09-16
CCC1150,336.74,2020-09-17
CCC1150,240.64,2020-09-18
CCC1150,68.52,2020-09-19
CCC1150,74.32,2020-09-20
CCC1150,241.17,2020-09-21
CCC1150,232.43,2020-09-22
CCC1150,248.14,2020-09-23
CCC1150,278.77,2020-09-24
CCC1150,241.91,2020-09-25
CCC1150,71.37,2020-09-26
CCC1150,80.04,2020-09-27
CCC1150,231.85,2020-09-28
CCC1150,255.19,2020-09-29
CCC1150,255.74,2020-09-30
CCC1150,251.5,2020-10-01
CCC1150,253.05,2020-10-02
CCC1150,71.86,2020-10-03
CCC1150,76,2020-10-04
CCC1150,272.57,2020-10-05
CCC1150,314.81,2020-10-06
CCC1150,266.75,2020-10-07
CCC1150,255.46,2020-10-08
CCC1150,298.63,2020-10-09
CCC1150,71.75,2020-10-10
CCC1150,71.88,2020-10-11
CCC1150,257.26,2020-10-12
CCC1150,292.42,2020-10-13
CCC1150,272.49,2020-10-14
CCC1150,276.13,2020-10-15
CCC1150,269.42,2020-10-16
CCC1150,77.09,2020-10-17
CCC1150,79.95,2020-10-18
CCC1150,260.13,2020-10-19
CCC1150,321.8,2020-10-20
CCC1150,294.41,2020-10-21
CCC1150,353.47,2020-10-22
CCC1150,278.76,2020-10-23
CCC1150,128.25,2020-10-24
CCC1150,68.71,2020-10-25
CCC1150,305.83,2020-10-26
CCC1150,282.94,2020-10-27
CCC1150,288.21,2020-10-28
CCC1150,314.28,2020-10-29
CCC1150,265.4,2020-10-30
CCC1150,67.56,2020-10-31
CCC1150,71.6,2020-11-01
CCC1150,255.58,2020-11-02
CCC1150,276.62,2020-11-03
CCC1150,273.54,2020-11-04
CCC1150,268.26,2020-11-05
CCC1150,236.29,2020-11-06
CCC1150,67.36,2020-11-07
CCC1150,67.11,2020-11-08
CCC1150,250.44,2020-11-09
CCC1150,263.95,2020-11-10
CCC1150,296.74,2020-11-11
CCC1150,273.6,2020-11-12
CCC1150,258.96,2020-11-13
CCC1150,66.35,2020-11-14
CCC1150,67.56,2020-11-15
CCC1150,188.75,2020-11-16
CCC1150,284.81,2020-11-17
CCC1150,242.14,2020-11-18
CCC1150,271.33,2020-11-19
CCC1150,20.8,2020-11-20
,,2019-11-01
,,2019-11-02
,,2019-11-03
,,2019-11-04
,,2019-11-05
,,2019-11-06
,,2019-11-07
,,2019-11-08
,,2019-11-09
,,2019-11-10
,,2019-11-11
,,2019-11-12
